Tarih;Stok Kodu;Urun Adi;Eski Stok;Yeni Stok
2026-09-09 05:10;TİNO371B04;M4 HSSE VAP DIN371B İNOX DÜZ MAVİ HALKA MAKİNE KILAVUZU ERİC;296;291
2026-09-09 05:10;TİNO371C04;M4 HSSE VAP DIN371B İNOX HELİS MAVİ HALKA MAKİNE KILAVUZU ERİC;238;233
2026-09-09 05:10;T4070050;M5 HELİS MAKİNE KILAVUZU TIAIN KAPLI HSSE COBALT DIN371C  ERİC;294;292
2026-09-09 05:10;TİNO371B05;M5 HSSE VAP DIN371B İNOX DÜZ MAVİ HALKA MAKİNE KILAVUZU ERİC;188;183
2026-09-09 05:10;TİNO371C05;M5 HSSE VAP DIN371B İNOX HELİS MAVİ HALKA MAKİNE KILAVUZU ERİC;186;181
2026-09-09 05:10;T4060060;M6 DÜZ MAKİNE KILAVUZU TIAIN KAPLI  HSSE COBALT DIN371B ERİC;486;476
2026-09-09 05:10;T4070060;M6 HELİS MAKİNE KILAVUZU TIAIN KAPLI HSSE COBALT DIN371C  ERİC;429;427
2026-09-09 05:10;TİNO371B06;M6 HSSE VAP DIN371B İNOX DÜZ MAVİ HALKA MAKİNE KILAVUZU ERİC;294;289
2026-09-09 05:10;TİNO371C06;M6 HSSE VAP DIN371B İNOX HELİS MAVİ HALKA MAKİNE KILAVUZU ERİC;292;287
2026-09-09 05:10;T4070080;M8 HELİS MAKİNE KILAVUZU TIAIN KAPLI HSSE COBALT DIN371C  ERİC;435;433
2026-09-09 05:10;TİNO371B08;M8 HSSE VAP DIN371B İNOX DÜZ MAVİ HALKA MAKİNE KILAVUZU ERİC;195;190
2026-09-09 05:10;TİNO371C08;M8 HSSE VAP DIN371B İNOX HELİS MAVİ HALKA MAKİNE KILAVUZU ERİC;198;193
2026-09-09 05:10;TNPT416100;"NPT 1"" KONİK KILAVUZ HSS DIN2181 ERİC";50;49
2026-09-09 05:10;TNPT416038;NPT 3/8 KONİK KILAVUZ HSS DIN2181 ERİC;165;160
2026-09-09 05:10;TLH376B12;M12 SOL DİŞ DÜZ MAKİNA KILAVUZU HSS DIN376B ERİC;112;111
2026-09-09 05:10;T415516;UNC5/16 DÜZ MAKİNA KILAVUZU TİN KAPLI HSS DIN2183 ERİC;194;193
2026-09-09 05:10;T416516;UNC5/16 HELİS MAKİNA KILAVUZU TİN KAPLI HSS DIN2183 ERİC;213;210
2026-09-09 05:10;T414078;UNF7/8 HELİS MAKİNA KILAVUZU TİN KAPLI HSS DIN2183 ERİC;7;6
2026-09-09 05:10;TAL05001;1MM 2 AĞIZ ALÜMİNYUM KARBÜR FREZE ERİC;51;49
2026-09-09 05:10;T412040;M4 KARBÜR 3 DİŞLİ DİŞ FREZESİ ERİC;45;43
2026-09-09 05:10;T412080;M8 KARBÜR 3 DİŞLİ DİŞ FREZESİ ERİC;127;115
2026-09-09 05:10;TP844130;13MM PARMAK FREZE HSS DİN844 ERİC;117;116
2026-09-09 05:10;TK844220;22MM KABATALAŞ FREZE HSS DIN844 ERİC;48;47
2026-09-09 05:10;T335160;16MM HAVŞA FREZE 90 DERECE HSS DIN335/C ERİC;994;993
2026-09-09 05:10;T334200;20MM 60 DERECE HAVŞA FREZE HSS DIN334/C ERİC;137;136
2026-09-09 05:10;T335200;20MM HAVŞA FREZE 90 DERECE HSS DIN335/C ERİC;1286;1283
2026-09-09 05:10;T335250;25MM HAVŞA FREZE 90 DERECE HSS DIN335/C ERİC;1584;1581
2026-09-09 05:10;T335300;30MM HAVŞA FREZE 90 DERECE HSS DIN335/C ERİC;759;758
2026-09-09 05:10;TA102006;10MM A FORM KARBÜR KALIPÇI FREZE ERİC;241;239
2026-09-09 05:10;TB102006;10MM B FORM KARBÜR KALIPÇI FREZE ERİC;818;817
2026-09-09 05:10;TC102006;10MM C FORM KARBÜR KALIPÇI FREZE ERİC;356;355
2026-09-09 05:10;TA122506;12MM A FORM KARBÜR KALIPÇI FREZE ERİC;310;309
2026-09-09 05:10;TF122506;12MM F FORM KARBÜR KALIPÇI FREZE ERİC;358;354
2026-09-09 05:10;TG122506;12MM G FORM KARBÜR KALIPÇI FREZE ERİC;120;100
2026-09-09 05:10;TA162506;16MM A FORM KARBÜR KALIPÇI FREZE ERİC;153;152
2026-09-09 05:10;TA061606;6MM A FORM KARBÜR KALIPÇI FREZE ERİC;359;358
2026-09-09 05:10;TA082006;8MM A FORM KARBÜR KALIPÇI FREZE ERİC;376;374
2026-09-09 05:10;4F550050200;2MM 55HRC KARBÜR DÜZ FREZE ERİC;22;7
2026-09-09 05:10;4F0050300;3MM 45HRC KARBÜR DÜZ FREZE ERİC;401;396
2026-09-09 05:10;4F550050300;3MM 55HRC KARBÜR DÜZ FREZE ERİC;465;464
2026-09-09 05:10;4F550050400;4MM 55HRC KARBÜR DÜZ FREZE ERİC;289;288
2026-09-09 05:10;2FK550050400;4MM 55HRC KARBÜR KÜRE FREZE ERİC;710;708
2026-09-09 05:10;4FR550550400;4MM R0,5 55HRC KARBÜR KÖŞE RADUS FREZE ERİC;72;70
2026-09-09 05:10;4F0050500;5MM 45HRC KARBÜR DÜZ FREZE ERİC;291;281
2026-09-09 05:10;4F550050500;5MM 55HRC KARBÜR DÜZ FREZE ERİC;215;214
2026-09-09 05:10;MİR050350;0,5MM DALMA BOY 3MM MİKRO KÜRE KARBÜR PARMAK FREZE ERİC;18;15
2026-09-09 05:10;TKP12006;6MM 120DERECE KARBÜR PAH KIRMA FREZESİ ERİC;24;21
2026-09-09 05:10;TKTF13540;13,5*4MM KARBÜR T-YARIK FREZESİ ERİC;17;16
2026-09-09 05:10;TRF22504;22,5*4MM T FREZE HSS DIN850 ERİC;74;69
2026-09-09 05:10;TRF22505;22,5*5MM T FREZE HSS DIN850 ERİC;81;76
2026-09-09 05:10;TRF22506;22,5*6MM T FREZE HSS DIN850 ERİC;82;77
2026-09-09 05:10;T3380009CO;0,9MM ALTIN SERİ MATKAP UCU HSS DİN338 ERİC;1900;1850
2026-09-09 05:10;T3380102F;10,2MM FULLY GROUND MATKAP UCU HSS DİN338 ERİC;950;945
2026-09-09 05:10;T3380105CO;10,5MM ALTIN SERİ MATKAP UCU HSS DİN338 ERİC;1895;1885
2026-09-09 05:10;T3380100CO;10MM ALTIN SERİ MATKAP UCU HSS DİN338 ERİC;1675;1670
2026-09-09 05:10;T3380122CO;12,2MM ALTIN SERİ MATKAP UCU HSS DİN338 ERİC;60;55
2026-09-09 05:10;T3380125F;12,5MM FULLY GROUND MATKAP UCU HSS DİN338 ERİC;550;545
2026-09-09 05:10;T3380120CO;12MM ALTIN SERİ MATKAP UCU HSS DİN338 ERİC;1245;1240
2026-09-09 05:10;T3380130F;13MM FULLY GROUND MATKAP UCU HSS DİN338 ERİC;565;560
2026-09-09 05:10;T3380170F;17MM FULLY GROUND MATKAP UCU HSS DİN338 ERİC;134;133
2026-09-09 05:10;T3380185CO;18,5MM ALTIN SERİ MATKAP UCU HSS DİN338 ERİC;79;78
2026-09-09 05:10;T3380032CO;3,2MM ALTIN SERİ MATKAP UCU HSS DİN338 ERİC;3010;3000
2026-09-09 05:10;T3380036CO;3,6MM ALTIN SERİ MATKAP UCU HSS DİN338 ERİC;1410;1360
2026-09-09 05:10;T3380042CO;4,2MM ALTIN SERİ MATKAP UCU HSS DİN338 ERİC;5540;5510
2026-09-09 05:10;T3380052CO;5,2MM ALTIN SERİ MATKAP UCU HSS DİN338 ERİC;2790;2770
2026-09-09 05:10;T3380050CO;5MM ALTIN SERİ MATKAP UCU HSS DİN338 ERİC;5930;5920
2026-09-09 05:10;T3380065CO;6,5MM ALTIN SERİ MATKAP UCU HSS DİN338 ERİC;2610;2600
2026-09-09 05:10;T3380067CO;6,7MM ALTIN SERİ MATKAP UCU HSS DİN338 ERİC;560;550
2026-09-09 05:10;T3380060F;6MM FULLY GROUND MATKAP UCU HSS DİN338 ERİC;4450;4440
2026-09-09 05:10;T3380070F;7MM FULLY GROUND MATKAP UCU HSS DİN338 ERİC;910;900
2026-09-09 05:10;T3380085CO;8,5MM ALTIN SERİ MATKAP UCU HSS DİN338 ERİC;3060;3050
2026-09-09 05:10;T3380080CO;8MM ALTIN SERİ MATKAP UCU HSS DİN338 ERİC;2050;2040
2026-09-09 05:10;TK4D100;10MM 4D KARBÜR MATKAP UCU ERİC;317;316
2026-09-09 05:10;TK4D110;11MM 4D KARBÜR MATKAP UCU ERİC;123;122
2026-09-09 05:10;TK4D120;12MM 4D KARBÜR MATKAP UCU ERİC;148;147
2026-09-09 05:10;TK4D030;3MM 4D KARBÜR MATKAP UCU ERİC;1237;1235
2026-09-09 05:10;TK4D040;4MM 4D KARBÜR MATKAP UCU ERİC;1293;1291
2026-09-09 05:10;TK338055;5,5MM KARBÜR MATKAP UCU DİN338 8D ERİC;48;45
2026-09-09 05:10;TK4D050;5MM 4D KARBÜR MATKAP UCU ERİC;1272;1271
2026-09-09 05:10;TK4D062;6,2MM 4D KARBÜR MATKAP UCU ERİC;199;196
2026-09-09 05:10;TK4D060;6MM 4D KARBÜR MATKAP UCU ERİC;1698;1697
2026-09-09 05:10;TK4D070;7MM 4D KARBÜR MATKAP UCU ERİC;445;444
2026-09-09 05:10;TK4D080;8MM 4D KARBÜR MATKAP UCU ERİC;931;930
2026-09-09 05:10;TK4D090;9MM 4D KARBÜR MATKAP UCU ERİC;295;294
2026-09-09 05:10;T333A315;3,15MM PUNTA MATKABI HSS DIN333A ERİC;3880;3875
2026-09-09 05:10;T333U315;3,15MM UZUN PUNTA MATKABI HSS DIN333A ERİC;2364;2359
2026-09-09 05:10;T333A400;4MM PUNTA MATKABI HSS DIN333A ERİC;4550;4545
2026-09-09 05:10;T333U400;4MM UZUN PUNTA MATKABI HSS DIN333A ERİC;1899;1894
2026-09-09 05:10;T333A630;6,3MM PUNTA MATKABI HSS DIN333A ERİC;1824;1820
2026-09-09 05:10;TNC09008;8MM NC 90DERECE KARBÜR PUNTA MATKABI ERİC;23;18
2026-09-09 05:10;T340015;1,5MM UZUN TAŞLANMIŞ MATKAP UCU HSS DIN340RN ERİC;2960;2950
2026-09-09 05:10;T340020;2MM UZUN TAŞLANMIŞ MATKAP UCU HSS DIN340RN ERİC;3840;3830
2026-09-09 05:10;T390150;150MM CNC FREZE MENGENESİ HÜGEL;9;8
2026-09-09 05:10;GT150MK;150MM MENGENE KOLU HÜGEL;47;46
2026-09-09 05:10;GT175HC;175MM HAREKETLİ ÇENE PLEYTİ HÜGEL;95;93
2026-09-09 05:10;GT175SC;175MM SABİT ÇENE PLEYTİ HÜGEL;102;100
2026-09-09 05:10;T315125;125MM SABİT TEZGAH MENGENESİ HÜGEL;31;30
2026-09-09 05:10;GT175300;175*300 SÜPER HASSAS TEZGAH MENGENESİ HÜGEL;97;95
2026-09-09 05:10;T2415005;PARALEL SET 150*5MM 14 ÇİFT ERİC;229;226
2026-09-09 05:10;T2415007;PARALEL SET 150MM 7 ÇİFT  ERİC;39;38
2026-09-09 05:10;TS11030500;500*26MM PASLANMAZ ÇELİK CETVEL ERİC;1392;1391
2026-09-09 05:10;T170020;KOMPARATÖR SAATİ 0-20;44;43
2026-09-09 05:10;T10150IP54;150MM IP54 ABSOLUTE DİJİTAL KUMPAS;7;6
2026-09-09 05:10;T230052;DİŞ TARAĞI METRİK VE İNCH 52 PARÇA ERİC;253;248
2026-09-09 05:10;T33NC0038;UNC3/8 DİŞİ VİDA MASTARI ERİC;13;12
2026-09-09 05:10;T33NC0516;UNC5/16 DİŞİ VİDA MASTARI ERİC;7;6
2026-09-09 05:10;T31100;M10 ERKEK VİDA MASTARI ERİC;56;55
2026-09-09 05:10;T31NF0012;UNF1/2 ERKEK VİDA MASTARI ERİC;13;12
2026-09-09 05:10;T230107;RADİUS MASTARI 1*7MM ERİC;270;265
2026-09-09 05:10;T230715;RADİUS MASTARI 7,5*15MM ERİC;348;343
2026-09-09 05:10;T160025DJT;0*25 DİJİTAL MİKROMETRE ;12;13
2026-09-09 05:10;TTES0010;3D TESTER ERİC;38;37
2026-09-09 05:10;T22MPRA;ANTİ MANYETİK MEKANİK PROP ERİC;3372;3352
2026-09-09 05:10;T22ISP;IŞIKLI SESLİ PROP ERİC;304;302
2026-09-09 05:10;T22ZSFR050;Z SIFIRLAMA SAATLİ 50MM*0,01 ERİC;254;253
2026-09-09 05:10;TS100010;0,10MM ŞERİT SENTİL 5000MM ERİC ;107;103
2026-09-09 05:10;TS100015;0,15MM ŞERİT SENTİL 5000MM ERİC ;102;98
2026-09-09 05:10;TS100020;0,20MM ŞERİT SENTİL 5000MM ERİC ;124;123
2026-09-09 05:10;TS100040;0,40MM ŞERİT SENTİL 5000MM ERİC ;54;51
2026-09-09 05:10;TS100050;0,50MM ŞERİT SENTİL 5000MM ERİC ;221;220
